OBJECTID,ID,ST_ABBREV,ACSTOTPOP,D_PM25_2,B_PM25_D2,P_PM25_D2,D_OZONE_2,B_OZONE_D2,P_OZONE_D2,D_DSLPM_2,B_DSLPM_D2,P_DSLPM_D2,D_CANCR_2,B_CANCR_D2,P_CANCR_D2,D_RESP_2,B_RESP_D2,P_RESP_D2,D_PTRAF_2,B_PTRAF_D2,P_PTRAF_D2,D_LDPNT_2,B_LDPNT_D2,P_LDPNT_D2,D_PNPL_2,B_PNPL_D2,P_PNPL_D2,D_PRMP_2,B_PRMP_D2,P_PRMP_D2,D_PTSDF_2,B_PTSDF_D2,P_PTSDF_D2,D_PWDIS_2,B_PWDIS_D2,P_PWDIS_D2,PM25,B_PM25,P_PM25,OZONE,B_OZONE,P_OZONE,DSLPM,B_DSLPM,P_DSLPM,CANCER,B_CANCR,P_CANCR,RESP,B_RESP,P_RESP,PTRAF,B_PTRAF,P_PTRAF,PRE1960PCT,B_LDPNT,P_LDPNT,PNPL,B_PNPL,P_PNPL,PRMP,B_PRMP,P_PRMP,PTSDF,B_PTSDF,P_PTSDF,PWDIS,B_PWDIS,P_PWDIS,VULEOPCT,B_VULEOPCT,P_VULEOPCT,VULSVI6PCT,B_VSVI6PCT,P_VSVI6PCT,MINORPCT,B_MINORPCT,P_MINORPCT,LOWINCPCT,B_LWINCPCT,P_LWINCPCT,LINGISOPCT,B_LNGISPCT,P_LNGISPCT,LESSHSPCT,B_LESHSPCT,P_LESHSPCT,UNDER5PCT,B_UNDR5PCT,P_UNDR5PCT,OVER64PCT,B_OVR64PCT,P_OVR64PCT,Shape_Length,Shape_Area
3973,40019426001,AZ,781,2042.402193,8,70,20172.15845,8,76,10.3066015,6,54,6910.593957,7,64,82.91145763,7,63,3707.572098,6,57,17.53315054,8,75,3.114035349,6,58,5.61932054,6,54,2.971131821,6,53,4.689016973,9,87,4.884981967,1,3,48.24741699,3,23,0.02465115,1,0,16.52863818,1,1,0.198306179,1,1,8.867706322,2,10,0.041935484,7,65,0.007448095,1,5,0.013440193,1,2,0.007106301,1,0,0.011215109,8,74,0.891805378,11,98,0.434665178,11,97,1,11,100,0.783610755,11,95,0.26519337,11,97,0.315909091,9,86,0.111395647,9,88,0.131882202,6,57,251376.6375,1703838842
3974,40019426002,AZ,771,1874.186294,7,69,18510.74338,8,74,9.457731356,6,54,6341.425073,7,63,76.08272162,7,62,8542.630957,6,59,3.375333333,7,67,3.195195571,6,58,6.030558942,6,55,2.700496499,6,53,33.43410013,10,91,4.884981967,1,3,48.24741699,3,23,0.02465115,1,0,16.52863818,1,1,0.198306179,1,1,22.26598194,2,15,0.008797654,5,42,0.008328133,1,6,0.01571838,1,3,0.007038722,1,0,0.087144473,9,83,0.854085603,11,96,0.365270037,9,89,1,11,100,0.708171206,10,90,0.09178744,9,82,0.243801653,8,78,0.058365759,5,46,0.089494163,4,39,122489.6905,676122781.7
3975,40019427001,AZ,975,2175.714092,8,71,22160.33836,8,77,10.82461479,6,54,7092.606785,7,65,83.25038021,7,63,2865.485265,6,56,15.61170484,8,74,4.842643969,7,60,11.02997916,6,58,5.772079778,6,55,0,9,80,4.751055191,1,1,48.39100458,3,25,0.023637454,1,0,15.48795699,1,0,0.181791878,1,0,6.257292119,1,8,0.034090909,7,62,0.010574767,1,7,0.024085904,1,6,0.012604354,1,3,0,7,60,0.826153846,10,94,0.376128529,10,91,1,11,100,0.652307692,9,85,0.134920635,9,87,0.274671053,9,82,0.035897436,3,26,0.158974359,7,66,156905.0918,706968967.8
3976,40019427002,AZ,1583,3683.068225,9,80,37513.21847,9,88,18.32400449,6,56,12006.42804,8,72,140.9269863,8,70,6098.868972,6,58,27.14322741,8,78,6.540580675,7,63,15.12735245,7,60,6.667378339,6,56,0.051819922,9,82,4.751055191,1,1,48.39100458,3,25,0.023637454,1,0,15.48795699,1,0,0.181791878,1,0,7.867370714,1,9,0.035014006,7,62,0.008437166,1,6,0.019513862,1,4,0.008600732,1,1,6.68E-05,7,63,0.846178143,11,96,0.414010019,11,96,0.984207202,11,97,0.708149084,10,90,0.330296128,11,98,0.263050154,9,81,0.059380922,5,47,0.138976627,7,60,418701.7018,1811948096
3977,40019427003,AZ,969,2440.05715,8,73,24852.75628,8,79,12.13977462,6,54,7954.338284,7,66,93.36506401,7,64,3091.725399,6,57,25.42485902,8,77,4.627001335,7,60,11.27957034,6,58,5.067120434,6,54,0,9,80,4.751055191,1,1,48.39100458,3,25,0.023637454,1,0,15.48795699,1,0,0.181791878,1,0,6.019923756,1,8,0.04950495,7,67,0.009009272,1,6,0.021962543,1,5,0.009866232,1,2,0,7,60,0.886480908,11,98,0.471094946,11,99,0.989680083,11,98,0.783281734,11,95,0.391891892,11,99,0.436741768,10,94,0.019607843,2,15,0.205366357,8,75,201475.4197,831122716.4
3978,40019427004,AZ,1134,2319.773353,8,72,23627.62763,8,78,11.54133856,6,54,7562.225331,7,65,88.76258802,7,64,0,6,52,26.84368536,8,78,5.278341534,7,61,7.090481762,6,56,6.268929887,6,55,0,9,80,4.751055191,1,1,48.39100458,3,25,0.023637454,1,0,15.48795699,1,0,0.181791878,1,0,0,1,3,0.054977712,7,69,0.010810406,1,8,0.014521794,1,2,0.012839199,1,3,0,7,60,0.787037037,10,91,0.371681856,10,90,0.992945326,11,98,0.581128748,8,79,0.190647482,10,93,0.276657061,9,82,0.061728395,5,49,0.126984127,6,56,324720.0999,1320183289
3979,40019440001,AZ,1376,3343.299606,8,78,35559.26164,9,86,13.72258142,6,55,10354.99732,8,70,118.6035944,7,67,0,6,52,63.61978188,9,85,11.49927472,7,69,16.86974109,7,61,9.395369534,6,57,0,9,80,4.508835792,1,0,47.95587909,2,18,0.018506528,1,0,13.96494124,1,0,0.159951005,1,0,0,1,3,0.085798817,8,74,0.015508135,2,10,0.022750845,1,5,0.012670769,1,3,0,7,60,0.895348837,11,98,0.420521914,11,96,1,11,100,0.790697674,11,96,0.176300578,10,92,0.322121604,9,87,0.095203488,8,78,0.13880814,7,60,191834.1365,1099506912
3980,40019440002,AZ,2341,4220.304354,9,82,44887.065,10,91,17.32224955,6,56,13071.29047,8,73,149.7153486,8,70,0,6,52,97.05147432,9,88,17.5257412,8,72,31.11360002,7,64,14.25472626,7,60,0,9,80,4.508835792,1,0,47.95587909,2,18,0.018506528,1,0,13.96494124,1,0,0.159951005,1,0,0,1,3,0.103686636,8,77,0.018723931,2,12,0.033240757,1,8,0.015229286,1,3,0,7,60,0.756300726,9,88,0.310302457,9,82,0.931225972,10,93,0.581375481,8,79,0.049520767,8,70,0.108748481,6,54,0.072191371,6,59,0.11875267,6,53,57391.792,77690351.09
3981,40019440003,AZ,2491,5051.182852,9,86,53724.27058,10,94,20.73259238,6,57,15644.71961,8,76,179.1907735,8,73,0,6,52,48.57606016,9,83,21.67376588,8,75,39.94222032,7,66,17.59913868,7,61,0,9,80,4.508835792,1,0,47.95587909,2,18,0.018506528,1,0,13.96494124,1,0,0.159951005,1,0,0,1,3,0.043360434,7,65,0.019346647,2,12,0.035653612,1,9,0.015709514,1,4,0,7,60,0.806201562,10,93,0.327759162,9,84,0.988358089,11,98,0.624045034,9,82,0.026711185,6,58,0.124309392,6,58,0.065837013,6,53,0.137294259,6,59,30264.16059,34124842.31
3982,40019441001,AZ,1129,2558.452831,8,73,26850.99918,9,81,10.8215988,6,54,7915.411619,7,66,90.40120415,7,64,0,6,52,22.69874501,8,77,5.271144108,7,61,6.49540715,6,55,6.016716946,6,55,0,9,80,4.556077869,1,0,47.81610261,2,16,0.01927104,1,0,14.09571881,1,0,0.160985937,1,0,0,1,3,0.040421793,7,64,0.009386823,1,7,0.011566983,1,1,0.010714534,1,2,0,7,60,0.853852967,11,96,0.389310363,10,93,0.996457042,11,98,0.711248893,10,91,0.20610687,10,94,0.257301808,9,80,0.073516386,7,60,0.091231178,5,40,38600.88249,70409515.5
3983,40019441002,AZ,1436,3572.472709,8,79,37493.15234,9,87,15.11064261,6,55,11052.61416,8,71,126.2309122,7,68,0,6,52,18.78111197,8,76,6.263447987,7,63,9.549887404,6,57,7.080640113,6,56,0,9,80,4.556077869,1,0,47.81610261,2,16,0.01927104,1,0,14.09571881,1,0,0.160985937,1,0,0,1,3,0.023952096,6,56,0.007987957,1,5,0.012179248,1,1,0.009030145,1,2,0,7,60,0.902506964,11,99,0.450169671,11,98,1,11,100,0.805013928,11,96,0.343558282,11,98,0.312195122,9,85,0.110724234,9,87,0.129526462,6,56,225640.9896,936122891.9
3984,40019441003,AZ,545,1155.989672,7,63,12132.1282,7,68,4.889539606,6,52,3576.432588,6,58,40.84611491,6,57,0,6,52,5.244955863,7,69,2.931159114,6,57,3.413625455,6,53,2.640999867,6,53,0,9,80,4.556077869,1,0,47.81610261,2,16,0.01927104,1,0,14.09571881,1,0,0.160985937,1,0,0,1,3,0.020671835,6,54,0.011552516,1,9,0.01345405,1,2,0.010408917,1,2,0,7,60,0.822018349,10,94,0.453696644,11,98,1,11,100,0.644036697,9,84,0.358208955,11,98,0.459383754,11,95,0.088073394,8,73,0.172477064,7,69,243995.9074,791960485.4
3985,40019441004,AZ,1713,3624.036806,8,79,38034.31829,9,88,15.32874551,6,55,11212.14458,8,71,128.0528948,7,68,0,6,52,10.26360097,8,72,8.125141131,7,65,9.347515048,6,57,8.069900178,6,57,0,9,80,4.556077869,1,0,47.81610261,2,16,0.01927104,1,0,14.09571881,1,0,0.160985937,1,0,0,1,3,0.012903226,5,47,0.01021479,1,7,0.011751538,1,1,0.010145342,1,2,0,7,60,0.820816923,10,94,0.350304394,9,87,0.908347928,10,91,0.733285917,10,92,0.106628242,9,84,0.204702628,8,74,0.092235844,8,76,0.056625803,2,18,190749.0131,460927022.9
